Record,Description,Connection strength,Preferred Stage,Preferred Sector
Asymmetry Ventures,"Venture capital firm investing in early stage companies with exceptional defensibility, backing those that push humanity forward.",Very strong,"Angel,Seed,Early Stage",
Alpha Venture Partners,"Alpha Partners accelerates private technology companies by investing in top tier growth equity rounds with early stage VCs, providing rational and agile capital to fill financing gaps and support rapid growth.",Very weak,"Series A,Series B,Series C+,Early Stage,Growth Stage",
Meridian Street Capital,"Meridian Street focuses on early-stage healthcare investments, strategically supporting founders at the convergence of healthcare and technology from the outset.",Very weak,"Pre-Seed,Seed,Early Stage",Healthcare
Blockchain Builders Fund,"Stanford Blockchain Community Leaders and Lecturers inspiring, building, and investing in blockchain technology for widespread adoption.",Weak,"Angel,Pre-Seed,Seed,Series A,Early Stage",Blockchain
ennea capital partners,"ennea capital partners serves as a strategic partner for European founders in the travel industry, offering expert guidance and resources to help them build, scale, and successfully exit market-leading travel companies.",Very weak,,
Compa Capital,Compa Capital focuses on investing in teams that enable individuals to have ownership and stake in various aspects of the internet.,Weak,,"Web3,Blockchain,Creator Economy"
Foresight Ventures,"Foresight Ventures is a crypto investment firm dedicated to backing disruptive innovation in blockchain. They manage multiple funds with over $400 million in assets under management, including a VC fund, an actively managed secondary fund, and a privat...",Very weak,,"Crypto,Blockchain"
Elixir Capital,Elixir Capital is a digital asset fund that supports founders in the Web3 space by backing those pushing the boundaries of open-source software and decentralized technology. They partner with select protocols to facilitate the development of essential ...,Weak,"Seed,Series A,Early Stage","Web3,Blockchain"
LongHash Ventures,"LongHash Ventures is a Web3 venture fund and accelerator that collaborates with founders to develop tokenomics, governance, and communities, investing in DeFi projects and partnering with Polkadot and Filecoin.",Weak,"Seed,Early Stage,Growth Stage","Web3,Crypto,DeFi"
Multicoin Capital,"Tushar Jain is a thesis-driven investment firm that focuses on making long-term, high-conviction investments in cryptocurrencies, tokens, and blockchain companies that are transforming significant markets.",Good,,"Crypto,Blockchain,FinTech"
Form Capital,"Form Capital is an early stage fund and design partnership founded by Bobby Goodlatte and Josh Williams. They invest real design expertise alongside seed capital, offering design sprints covering branding, pitch decks, packaging, and product UX flows a...",Very weak,"Angel,Seed,Early Stage","AI,FinTech,Consumer,Big Data,Collaboration / Productivity Tools,E-Commerce / Marketplaces"
Struck Capital,"Struck Capital specializes in investing in and developing transformative technology at the seed stage, utilizing proprietary AI and machine learning tools to enhance recruitment processes and connect portfolio companies with top-tier talent.",Good,"Seed,Early Stage","AI,Machine Learning"
BAD BITCH EMPIRE,BAD BITCH EMPIRE is a global community venture collective that elevates visionary female leaders to build empires and invest in high-impact female-led businesses. They provide unapologetic worth and wealth for women through investing in Bad Bitch Busin...,Good,"Seed,Early Stage,Growth Stage",Consumer
sage investment group,"Sage Investment Group is a small but impactful firm specializing in investment and capital referrals. They have strong relationships with key investors across various sectors and offer cost-effective services, charging only a third of typical brokerage...",,,
Shima Capital,Shima Capital is an early-stage global venture firm dedicated to supporting innovative blockchain startups.,Very weak,"Angel,Seed,Early Stage",Blockchain
VedasLabs,"VedasLabs.io operates a technology-driven social venture platform that facilitates direct connections between founders, investors, and mentors, enabling individuals to learn about and invest in high-impact early-stage startups.",Weak,"Angel,Seed,Early Stage","Consumer,Social Media"
Sapphire Ventures,"Sapphire Ventures is a leading global technology-focused venture capital firm with over $10.2 billion in assets under management. They partner with visionary teams and venture funds to scale companies of consequence, offering a strategic blend of value...",Weak,"Series C+,Growth Stage,Late Stage",
youngStartup Ventures,"youngStartup Ventures connects innovators, startups, and investors through exclusive Venture Summits, fostering connections for success in the entrepreneurial world.",Good,,
New York Venture Partners,"New York Venture Partners is a family office that specializes in supporting pre-seed startups through a comprehensive ecosystem that includes financing, mentorship, and strategic marketing consulting, leveraging its extensive experience from over 60 di...",Very strong,"Pre-Seed,Seed",
Wedbush Ventures,"Wedbush Ventures is an early stage venture fund based in Santa Monica, CA, backing visionary problem solvers. We invest in seed and pre-seed stage companies founded by entrepreneurs who are passionate about solving problems in unconventional ways. Comm...",Very weak,"Pre-Seed,Seed,Early Stage","AI,Blockchain,FinTech,Healthcare,Consumer,E-Commerce / Marketplaces"
Latimer,"Latimer Ventures is a Baltimore-based early-stage Venture Capital Fund that assists Fortune 1000 Companies in making diverse acquisitions. With a focus on increasing capital flow to emerging BIPOC companies, Latimer Ventures aims to eliminate racial an...",Very weak,"Pre-Seed,Seed,Early Stage",
Bliss Enterprises,Bliss Enterprises is a company that focuses on promoting positivity and well-being through its products and services. They offer a range of wellness products and services aimed at enhancing personal growth and fostering a positive environment for indiv...,Very weak,,"Healthcare,Consumer"
Evolution Private Investment Collective,"Epic Funds offers curated private credit and equity fund investments, providing clients with a seamless and confident experience in the private markets.",Weak,,
Aiden,"Aiden Ventures is a venture capital firm that invests in early-stage technology startups. They provide funding, mentorship, and strategic support to help entrepreneurs grow their businesses.",Weak,"Angel,Seed,Early Stage",
Sixty Degree Capital,"Sixty Degree Capital is an investment company specializing in venture capital and private equity. They focus on investing in biopharmaceuticals, healthcare platforms, and technology, supporting companies across different sectors and stages to drive mea...",Very weak,,"Healthcare,Biotech / Life Sciences"
Kairos Ventures,"Kairos Ventures is a pioneering investment firm that supports and commercializes the world's leading scientific discoveries from top universities and scientists. With a focus on groundbreaking startups in life sciences, physical sciences, and technolog...",Very weak,"Seed,Early Stage,Growth Stage","AI,Biotech / Life Sciences"
50 Partners,"50 Partners is a leading startup accelerator in France, founded by 50 successful entrepreneurs from companies like BlaBlaCar, Showroomprivee, Le Bon Coin, and more. They provide high-quality mentoring, financing, international connections, networking, ...",Very weak,"Angel,Pre-Seed,Seed,Series A,Series B,Early Stage","FinTech,Consumer,E-Commerce / Marketplaces"
Venture Forward,"Venture Forward is a nonprofit shaping a diverse future for venture capital, supporting investors to empower underrepresented groups in funding innovative founders.",Very weak,,
BlockTower Capital,"BlockTower Capital is an institutional investment firm focused on cryptocurrency and blockchain technology. They offer a range of investment strategies including active trading, market neutral strategies, credit investing, and venture capital. Founded ...",Weak,,"Crypto,Blockchain"
C2 Ventures,"C2 Ventures is an early stage investment platform that bridges the gap between founders and capital by providing support, connections, and experience. They partner with Pre Series A companies developing enterprise software and robotics solutions for le...",Very weak,"Angel,Pre-Seed,Series A,Early Stage","Enterprise,Robotics"
Northzone,"Northzone is a technology investment partnership with over two decades of experience. They have invested in over 120 companies, focusing on disruptive businesses tackling challenging problems. With offices in London, Stockholm, Oslo, and New York, Nort...",Very weak,"Pre-Seed,Seed,Series A,Early Stage",
Boldstart Ventures,"Boldstart Ventures is a day one partner and true believer for developer-first, crypto infra, and SaaS founders, providing early-stage funding and support to turn bold ideas into iconic companies.",Very weak,"Angel,Seed,Series A,Early Stage","Blockchain,FinTech"
Commerce Ventures,Commerce Ventures is a venture capital firm empowering technology innovators in retail and financial services to shape the future of industries through strategic investments and partnerships.,Very weak,,"FinTech,E-Commerce / Marketplaces"
a16z crypto,a16z crypto is a leading venture capital fund specializing in investments in crypto and web3 startups since 2013. They support innovative entrepreneurs shaping the future of the internet and provide valuable insights on all things crypto and web3 throu...,Very weak,"Angel,Seed,Early Stage","Web3,Crypto,Blockchain"
Eden Holdings,"ED3N Ventures is a leading web3 venture studio dedicated to building projects that enable the open metaverse. They work with founders to develop solid business and web3 strategies, provide expertise, funding, and access to a strategic network of partne...",Very weak,"Angel,Seed,Early Stage","Web3,Metaverse,E-Commerce / Marketplaces"
Dissent Capital,Crypto Venture Fund of Funds,Very weak,,
TIA Ventures,TIA Ventures is a NYC-based seed stage venture capital fund focused on scaling B2B software companies with a customer-centric approach and proven success in generating top-quartile returns.,Weak,"Pre-Seed,Seed,Early Stage","FinTech,E-Commerce / Marketplaces"
Side Door Ventures,"Side Door Ventures is a global venture capital firm that invests in audacious founders across various sectors such as software, life sciences, space, blockchain, and more. They aim to back companies that are transforming industries and improving lives ...",Very weak,,"Blockchain,Biotech / Life Sciences,Space Tech"
Fayerweather Capital Partners,Fayerweather Capital Partners is an alternative investment firm and multi-family office.,Very weak,,
General Catalyst,"General Catalyst is a venture capital firm that focuses on making early-stage and transformational investments in innovative technology companies and market-leading businesses, supporting exceptional entrepreneurs in their pursuit of powerful, positive...",Very weak,"Angel,Seed,Early Stage","Web3,AI,DeFi,Blockchain,FinTech,Healthcare,Consumer,Metaverse,Big Data,Cloud Computing,Cybersecurity,Social Media,Creator Economy,E-Commerce / Marketplaces,Climate Tech,Mobility / Transportation,Robotics,Defense Tech"
Workplace Accelerator,"Workplace Accelerator is a premier platform dedicated to accelerating HR Tech businesses across South East Asia through curated mentors, connections, and a structured 12-week program. They focus on shaping the future of work by providing expertise in W...",Very weak,"Pre-Seed,Seed,Early Stage","FinTech,Collaboration / Productivity Tools"
Champel Capital,"Champel capital focuses on investing in entrepreneurs and their visions, prioritizing the development of innovative companies that address real market needs in expansive and growing sectors, particularly those leveraging deep technology to establish si...",Very weak,"Pre-Seed,Seed,Series A,Series B,Early Stage","AI,Blockchain,FinTech,Healthcare,Big Data,Cybersecurity,Climate Tech,Mobility / Transportation,Robotics"
Lead Block Partners,"LeadBlock Partners is a European venture capital fund focusing on Blockchain & Digital Assets. They support high-quality founders in Web3 from protocol/product build to token launch and mass adoption, with a focus on corporate and institutional blockch...",Very weak,"Seed,Series A,Early Stage","Web3,Blockchain"
ADAMANT INVESTMENT PARTNERS,"AIP is an international investment and advisory firm specializing in commodities and artificial intelligence. They offer a wide range of services including principal investment, capital raising, business development, incubation, deal screening, and hum...",Very weak,,"AI,FinTech,Machine Learning"
Ocean Azul Partners,Ocean Azul Partners is an early stage venture capital firm focused on investing in founders building the future. They are passionate about supporting entrepreneurs in bringing innovative technology solutions to market and providing significant value to...,Very weak,"Pre-Seed,Seed,Series A,Early Stage","AI,Blockchain,FinTech,Healthcare,Cloud Computing,Cybersecurity"
Umami Capital,Umami Capital is a multicultural venture syndicate supporting diverse founders with investments from top funds and angels.,Weak,,
Delta Blockchain Fund,"Delta Blockchain Fund is an early stage venture capital fund founded in 2021 by World Bank, International Finance Corporation (IFC), and ConsenSys alumna Kavita Gupta. The fund supports developers and visionaries in building a decentralized world by in...",Very weak,"Pre-Seed,Seed,Series A,Early Stage","DeFi,Blockchain,FinTech"
Clout Fund,"Clout Fund is a venture capital firm that specializes in backing the future. We provide funding and support to startups in the venture capital and private equity sectors, with a focus on consumer e-commerce. Our team of principals has extensive experie...",Very weak,"Seed,Series A,Early Stage","Consumer,E-Commerce / Marketplaces"
Anthos Capital,Anthos Capital is a private investment firm supporting dynamic entrepreneurs in building disruptive companies across multiple industries.,Very weak,,
Geekcartel,"Geekcartel Ventures Incubation. BUIDL by Geeks, for Geeks. Venture Capital and Private Equity Principals",Very weak,,
1 Main Capital,"1 Main Capital is a long biased investment partnership founded by Yaron Naymark. They invest in high quality, attractively valued, growing businesses with a focus on the long term. The company is experienced, patient, flexible, disciplined, and concent...",Good,,
Goat Capital,GOAT CAPITAL founder @goat_capital @fractalwagmi @rye advising/ investing @detecttest @twitter @square @sleeperhq @tryramp @uber @xiaomi Greatest venture fund of all time. Software Development,Very weak,"Angel,Seed,Series A,Early Stage","AI,Blockchain,FinTech,Healthcare,Cloud Computing,Cybersecurity"
SignalFire,"SignalFire is a venture capital firm that leverages technology and data-driven insights to provide comprehensive support and resources for startups, from initial funding to scaling operations.",Very weak,"Seed,Series A,Series B,Early Stage,Growth Stage",
Arka,"ARKA Ventures is a venture capital firm specializing in real estate and property technology. They invest in innovative companies like Mine Furniture, Up&Up, Fantasmo, Inspectify, and Remarkably, providing solutions in furniture retail, rent-to-own plat...",Very weak,"Pre-Seed,Seed,Series A,Early Stage",
New,"Point Olema is a multi-family investments office creating institutional, endowment-style portfolios for long-term wealth sustainability.",Very weak,,
TinyTap,"Animoca Brands is a leading digital entertainment company specializing in blockchain games, traditional games, and NFT-related products. With a diverse portfolio of popular global brands like Disney, WWE, and The Walking Dead, Animoca Brands is also a ...",Very strong,"Seed,Series A,Series B,Early Stage,Growth Stage","Web3,DeFi,Blockchain,NFTs"
HYPERPYRA,HYPERPYRA is a web3 firm dedicated to researching and selecting outstanding digital assets within the emerging alternative financial landscape.,Very weak,,"Web3,Crypto"
Beresford Ventures,"Beresford Ventures, founded in 2018 by Floridian entrepreneurs, is an early-stage fund that has invested $9 million in over 140 companies across various sectors and geographies. With a unique approach of investing their own funds and being closed to ou...",Very weak,"Angel,Seed,Early Stage",
Brand Velocity Partners,"Brand Velocity Group focuses on delivering exceptional returns to its investors by identifying and supporting businesses with defensible, differentiated products or services that demonstrate consistent growth and profitability, leveraging its marketing...",Very weak,"Seed,Series A,Early Stage,Growth Stage",
Sentor Investments,"Sentor Investments is a private investment company focused on domestic and international private equity, venture capital, and listed equity investment. They target growth stage companies with proven revenue models and aim to assist portfolio companies ...",Very weak,Growth Stage,
Blockwall Capital,,Very weak,,
Green Park & Golf Ventures,"Green Park & Golf Ventures specializes in identifying and investing in medical-related startups, leveraging over 60 years of operational and financial expertise to provide strategic solutions and financial backing to its portfolio.",Strong,"Angel,Seed,Series A,Early Stage",Healthcare
Fifth Down Capital,High conviction investment team with 30+ years of experience in generational companies.,Weak,,
Litvc,"Litquidity Ventures invests in early stage, technology-enabled startups across diverse verticals. Leveraging a robust network and unique industry insights, we empower visionary founders who are disrupting the status quo. Our team of entrepreneurs, inve...",Very weak,"Angel,Seed,Early Stage",
Platinum Group of Companies Inc,"Emerging Ventures Capital is a SoCal-based VC fund investing in seed-stage tech startups in the US and Canada, focusing on emerging technologies to solve business challenges.",Weak,"Angel,Seed","AI,Blockchain,FinTech,Healthcare,Consumer,Big Data,Cloud Computing,Cybersecurity"
Allied Venture Partners,"Allied Venture Partners is one of Canada's largest angel investor networks, supporting software and technology companies across Canada and the United States. They are an early stage venture syndicate investing in Seed and Series A software and technolo...",Very weak,"Angel,Seed,Series A,Early Stage","AI,FinTech,Healthcare,Cloud Computing,E-Commerce / Marketplaces"
Dragonfly 44 Capital,"Dragonfly 44 Capital specializes in supporting the growth and development of the world’s strongest companies changing the landscape of mental health. With a deep knowledge of neuropsychiatry, mental healthcare, psychedelics, longevity, and wellness, Dr...",Strong,"Seed,Series A,Early Stage,Growth Stage","Healthcare,Biotech / Life Sciences"
Propel Venture Partners,"Propel Venture Partners is a Bay Area-based fintech and web3 investor with over two decades of experience in early stage investing, specializing in the new financial economy.",Very weak,"Pre-Seed,Seed,Series A,Early Stage","Web3,FinTech"
Alpha Square Group,"Alpha Square Group specializes in developing innovative technology solutions that bridge the gap between the physical and digital realms, offering a range of services including a social networking app for image messaging, an augmented reality platform,...",Weak,,"AI,Enterprise,Social Media"
Climatecap,"Climate Capital is an early stage climate tech VC that has been backing emissions reduction and adaptation since 2015. With a platform approach spanning funds and syndicates, they offer investment opportunities in Seed, Growth, Bio, and Syndicate secto...",Good,"Seed,Early Stage,Growth Stage",Climate Tech
Powerhouse Capital,"Powerhouse Capital is a venture capital fund based in Los Angeles that focuses on investing in global technology opportunities within the media, entertainment, sports, and gaming sectors.",Weak,,"AI,Consumer"
Embark Ventures,Embark Ventures is a Los Angeles-based venture capital firm specializing in early-stage investments in deep tech companies. They seek out ambitious teams with breakthrough proprietary technology to transform multi-billion dollar industries. Their speci...,Weak,"Pre-Seed,Seed,Early Stage","AI,Blockchain,FinTech,Big Data,Machine Learning,Cloud Computing,Cybersecurity,Robotics"
Crescite Ventures,Crescite Ventures invests in early-stage companies solving real problems with a focus on innovation and growth.,Very weak,"Angel,Seed,Early Stage",
Mana Ventures,"Mana Ventures focuses on creating a collaborative network of founders, investors, and industry specialists to drive innovation and redefine various industries through technology and shared expertise.",Very strong,,
Entrepreneur First,"Entrepreneur First invests in top technical talent to build startups from scratch, connecting individuals with co-founders and investors to create world-changing companies valued at over $10 billion.",Weak,"Angel,Pre-Seed,Seed,Early Stage",E-Commerce / Marketplaces
Coherent Capital,"Coherent Capital is a data-driven investment bank specializing in disruptive tech, health, and wellness ventures. They provide strategic capital partnership, fundraising expertise, and global network access to accelerate company growth and increase val...",Very weak,,Healthcare
soonami.io,"Soonami.io is a new generation venture builder that believes in a decentralized future, zero knowledge, and the power of DAOs. They build teams, fund projects, and provide a launchpad for startups in the Web3 and AI space. Their Venturethon program sup...",Very weak,"Angel,Seed,Early Stage","Web3,AI"
SAX Capital,SAX Capital is an independent investment advisor that specializes in facilitating direct secondary investments through the AngelList platform.,Very strong,"Angel,Seed,Early Stage",
Acrylic,Archetype is an early-stage venture firm that invests in and supports the next generation of crypto founders dedicated to disrupting traditional markets and fostering a decentralized future.,Weak,"Angel,Seed,Early Stage",Crypto
Jump Capital,"Jump Capital is a thesis-led venture investor specializing in scalable software opportunities in fintech, crypto, IT, and data infrastructure, providing advocacy and support for entrepreneurs with institutional-level resources.",Very weak,"Pre-Seed,Seed,Series A,Series B,Series C+,Early Stage,Growth Stage,Late Stage","Crypto,FinTech,Big Data,Cloud Computing"
Redpoint,"Redpoint Ventures invests in startups at various stages, partnering with visionary entrepreneurs to create new markets and redefine existing ones, particularly in sectors such as media distribution, infrastructure technologies, and cloud services.",Very weak,"Seed,Series A,Series B,Early Stage,Growth Stage",Cloud Computing
Coolwatercap,"Coolwater Capital is a financial services company that is revolutionizing the way emerging fund managers are launched, built, and scaled. They provide innovative solutions to support the growth of fund managers in the industry.",Weak,,
pluralenergy.co,"Plural Energy offers on-chain financing solutions that enable individuals to invest in high-yield clean energy infrastructure projects globally, starting with investments as low as $500.",Weak,"Seed,Early Stage,Growth Stage","FinTech,Climate Tech"
Ceres Group Holdings,"Ceres Group Holdings is a private holding company based in Los Angeles. They partner with leading innovators to create value and drive growth in emerging industries. Their focus areas include venture capital, private equity, and growth equity investmen...",Very weak,,
Digital Currency Group,"Digital Currency Group serves as an investor and operator in the cryptocurrency industry, focusing on building, buying, and investing in bitcoin and blockchain companies to support emerging talent and accelerate the development of a better financial sy...",Weak,"Seed,Series A,Series B,Series C+,Early Stage,Growth Stage,Late Stage","Crypto,Blockchain,FinTech"
10x Value Partners,"10x Value Partners is a global investor specializing in fast-growing technology companies post-revenue, offering investment, company building, and advisory services.",Very weak,"Growth Stage,Late Stage","FinTech,Healthcare,Consumer"
Fuel Ventures,"Fuel Ventures is a leading early stage investor in tech and digital companies, supporting ambitious founders with innovative technologies through hands-on guidance and investments from £150k to £3m.",Weak,"Angel,Seed,Series A,Early Stage","AI,Blockchain,FinTech,Cybersecurity,E-Commerce / Marketplaces"
VNTR Capital,"VNTR Capital is a global investment community and syndicate specializing in fast-growing startups, offering exclusive deal flow and co-investment opportunities with a dynamic community of accomplished peers.",Very strong,,
Conscience VC,Conscience VC is an early stage firm investing in science empowering humanity. They provide Venture Capital and Private Equity services to support innovative companies in advancing technologies that benefit society.,Very weak,"Angel,Seed,Early Stage","Healthcare,Biotech / Life Sciences,Climate Tech"
Basis Set Ventures,Basis Set Ventures invests in early stage startups using AI to boost productivity and innovation.,Very weak,"Angel,Seed,Early Stage","AI,Machine Learning,Cloud Computing"
The Chernin Group,TCG invests in early-stage consumer-focused cryptocurrency ventures that aim to shape and define cultural trends.,Good,"Angel,Seed,Early Stage","Crypto,FinTech,Consumer"
Hannah Grey,"Hannah Grey is a venture fund that invests in early-stage, customer-centric founders who are focused on transforming everyday experiences, often engaging with repeat entrepreneurs who demonstrate early traction in emerging markets.",Very strong,"Pre-Seed,Seed,Series A,Early Stage","FinTech,Consumer,E-Commerce / Marketplaces"
Venture5 Media,"Venture5 Media is a company that focuses on the Edutainment Economy, building, buying, and investing in VC media companies. They reach over 52,000 VCs, family offices, founders, and startup enthusiasts monthly through various media brands, delivering o...",Very strong,,
Platinum Group Of Companies,Emerging Ventures is a Southern California based venture capital fund that specializes in investing in early stage start-ups. They focus on start-ups that are creating or using emerging technologies to provide innovative solutions. Their portfolio cons...,Very weak,"Angel,Seed,Series A,Early Stage","AI,Blockchain,FinTech,Healthcare,Big Data,Cloud Computing,Cybersecurity,Biotech / Life Sciences,Climate Tech,Robotics"
AIX Ventures,AIX Ventures is an AI fund and seed stage venture capital firm that partners with top AI startups and practitioners. They focus on investing in Pre/Seed startups and supporting AI-powered companies through their network of AI practitioners and investors.,Very weak,"Pre-Seed,Seed","AI,Big Data,Machine Learning,Cloud Computing"
Watertower Ventures,"Watertower Ventures is an early stage venture fund based in Los Angeles, California, focusing on investing in and supporting entrepreneurs who are creating industry-defining consumer technology and enterprise software companies. The team at Watertower ...",Very weak,"Angel,Seed,Early Stage","Consumer,Enterprise"
Hutt Capital,"Hutt Capital operates as a blockchain venture capital fund of funds platform, collaborating with prominent blockchain VC firms to offer diversified investment opportunities in promising blockchain and cryptocurrency startups worldwide through various i...",Weak,"Angel,Seed,Series A,Early Stage,Growth Stage","Crypto,Blockchain"
Pantera Capital,"Pantera Capital is a pioneering U.S. investment firm exclusively focused on blockchain technology, digital currencies, and blockchain companies. They offer a range of funds with significant returns for investors.",Weak,None,"Blockchain,FinTech"
Newmancapital,"Newman Capital is a full stack proprietary venture capital firm based in Asia, inspired by the renowned racecar driver and entrepreneur. They seek founders, projects, and technology that drive disruptive change, aiming to invest, mentor, and empower cu...",Very weak,,
Fundraise.vc,"Fundraise.vc is a Capital as a Service platform that connects private investors with venture deals and funds. They offer pre-vetted deal flow for LPs, investors, VCs, and startups, enabling data-driven investments and streamlined fundraising processes ...",Very weak,,
97212 Ventures,"97212 Ventures is a New York-based seed fund and day one partner for Israeli founders, specializing in investing in top early-stage Israeli startups committed to building category-defining companies in NYC. They provide hands-on tangible value from day...",Very weak,"Angel,Seed,Early Stage",Enterprise
10x Founders,10x Founders is a cutting-edge venture capital firm supporting early-stage entrepreneurs in building global businesses. It is a network-driven investor backed by over 200 angels and entrepreneurs. The founding partners have made over 300 investments an...,Very weak,"Angel,Seed,Early Stage",
Griffin Gaming Partners,"Griffin Gaming Partners is a prominent venture capital fund dedicated to investing in gaming enterprises that operate at the convergence of content, social platforms, and software infrastructure, managing over $1 billion in assets.",Good,,
Private Equity International,"Private Equity International (PEI) is a leading global provider of private equity news and analysis, specializing in the LP/GP nexus. With a dedicated team of journalists in London, Hong Kong, and New York City, PEI offers independent coverage of the g...",Very weak,,
Gaingels,"Gaingels is a prominent venture investment syndicate that focuses on promoting diversity and inclusion within the venture capital industry, particularly supporting the LGBTQIA+ community and its allies by co-investing in companies committed to building...",Very strong,"Seed,Series A,Early Stage",
Coughdrop Capital,"Coughdrop Capital: Early stage venture firm in Bend, Oregon, funding smart founders with ambitious plans.",Very weak,"Angel,Seed,Early Stage",
Keiretsu Forum,"Keiretsu Forum operates as a global angel investor network, connecting over 2,500 accredited investors across multiple continents to facilitate private equity investments and venture capital opportunities.",Very weak,"Angel,Seed,Early Stage",
Capital Innovators,"Capital Innovators is a leading accelerator program and venture fund that supports startups globally, offering seed funding, mentorship, and strategic guidance for scaling in technology and consumer products sectors.",Very weak,"Angel,Seed,Early Stage",Consumer
BBQ Capital,"BBQ Capital strategically invests in early-stage entrepreneurs, hosting events connecting founders and investors, and supporting startups from pre-seed to IPO.",Very weak,"Pre-Seed,Seed,Series A,Early Stage",
Crossbeam,"Crossbeam Venture Partners invests in early-stage startups that are involved in new Internet Economies, Financial Services, or Novel Asset Classes, with a mission to amplify the success of founders and creators.",Very weak,"Angel,Seed,Early Stage","AI,Blockchain,FinTech,E-Commerce / Marketplaces"
H.E.N.R.Y Collective,H.E.N.R.Y Collective: Venture capital and private equity firm investing in high-growth companies to support innovation and business growth.,Weak,,
Keshif Ventures,"Keshif Ventures, LLC is a private Angel Investing company focusing on early-stage High Tech startups in San Diego, CA, with a mission to support innovative and socially impactful ideas.",Good,"Angel,Pre-Seed,Early Stage","AI,FinTech,Healthcare,Consumer,Big Data,Climate Tech,Robotics"
Visible Hands,"Visible Hands is a venture capital firm dedicated to supporting early stage, underrepresented founders in launching high-growth startups. They offer a 14-week virtual accelerator program, funding, community support, and personalized guidance to empower...",Very weak,"Pre-Seed,Seed,Early Stage",
Q Fund,"Q Fund is a Seed to Series A fund that specializes in backing Israeli startups in the Automotive & Mobility, Energy, Logistics, and Industry 4.0 sectors. They support startups by providing deep industry knowledge, local idea validation, product commerc...",Very weak,"Seed,Series A","Consumer,Climate Tech,Mobility / Transportation"
Blue Collective,"Blue Collective is a Venture Capital and Private Equity firm that invests in phenomenal people building phenomenal businesses. They provide funding, guidance, and support to help entrepreneurs scale and grow their companies.",Very weak,,
Galaxy Digital,"Galaxy is a leading financial services firm in digital assets and blockchain, providing a full range of solutions to institutions and clients worldwide.",Weak,,"Crypto,Blockchain"
Menlo Ventures,"Menlo Ventures is a Bay Area venture capital firm investing in early-stage technology companies, with a strong focus on transformative technologies and a successful track record in consumer, enterprise, and healthcare sectors.",Very weak,"Seed,Series A,Early Stage","Healthcare,Consumer,Enterprise"
Launchpad Capital,"Launchpad Capital is a venture capital firm specializing in early-stage Fintech investments, driving innovation in the financial services sector with a focus on the FIRE economy.",Good,"Angel,Seed,Early Stage",FinTech
Tusk Venture Partners,"Tusk Venture Partners specializes in investing in early-stage consumer technology startups that operate within heavily regulated markets across North America, leveraging its expertise in regulatory risk to support founders in navigating these challenges.",Very weak,"Angel,Seed,Early Stage","FinTech,Consumer"
Unshackled Ventures,"Unshackled Ventures is an early-stage venture fund dedicated to investing in foreign-born founders, aiming to unlock the potential of immigrants and support their entrepreneurial journeys in the United States.",Very weak,"Angel,Pre-Seed,Seed,Series A,Early Stage","FinTech,Consumer"
Your Site Title,"Lightning Ventures is a Bitcoin-focused venture capital firm that invests in software, hardware, mining & energy companies in the Bitcoin space. Their mission is to support the next generation of market-defining Bitcoin companies through investing and ...",Weak,"Seed,Series A,Early Stage","Crypto,Blockchain,FinTech"
Modern Venture Partners,"MVP Ventures partners with elite early-stage teams to build defensible technology, aiming to provide the highest value per dollar on the cap table.",Very weak,"Angel,Seed,Early Stage",
Differential Ventures,Differential Ventures is a NYC-based AI-focused VC fund led by data scientists investing in data-centric B2B tech startups to harness the full value of data.,Weak,"Seed,Series A,Early Stage,Growth Stage","AI,Enterprise,Big Data"
Consero Global,"Consero Global is a pioneer in Finance as a Service (FaaS), offering cutting-edge financial and accounting solutions to small and mid-market companies. Backed by BV Investment Partners, Consero revolutionizes the way businesses achieve financial clarit...",Good,,"FinTech,Enterprise,Cloud Computing"
Framework Ventures,Framework (framework.ventures) is a technology company that invests in and supports open blockchain networks through product development and services.,Very weak,,Blockchain
Boğaziçi Ventures,"Boğaziçi Ventures is a technology-focused investment firm that supports companies in their business processes by leveraging technology and digitalization. With a disruptive and innovative approach, we provide top-level support for international growth ...",Very weak,,
Sequoia Capital,"Sequoia Capital provides venture capital and strategic support to innovative founders, guiding them from the initial concept of their business through to a successful public offering and beyond.",Very weak,"Seed,Series A,Series B,Early Stage,Growth Stage,Late Stage",
C² Ventures,"C² Ventures is an investment firm specializing in building and investing in #Web3 companies. With a deep understanding of exchange listings and strong relationships with founders and developers globally, we provide access to exclusive deals and liquidi...",Very weak,"Angel,Seed,Series A,Series B,Early Stage",Web3
Zeal Capital Partners,"Zeal Capital Partners is a venture capital fund that invests in diverse management teams reimagining the building blocks of wealth, focusing on education, employment, financial health, and health equity. They target high-growth companies in the FinTech...",Very weak,"Seed,Series A,Early Stage,Growth Stage",FinTech
AAF Management Ltd.,"AAF Management Ltd. is a leading early stage venture capital firm investing in technology companies in North America with a focus on Fintech, SaaS, Healthcare, E-Commerce, and Deep Tech. They have a diverse portfolio of over 120 companies and $180M in ...",Very weak,"Angel,Seed,Series A,Early Stage","AI,FinTech,Healthcare"
